Date,Tests,Positives,Hospitalized,ICU,Deaths,New Cases,Age 0-9,Age 10-19,Age 40-49,Age 50-59,Age 60-69,Age 70-79,Age 80+,Age Unknow,Age 20-29,Gender Female,Gender Male,Gender Unknown,Age 30-39,New Tests,Rolling Average Percentage of Positive Cases Among Tests (14 day period) 
2020-03-25,"5,055",341,69,31,3,58,3,3,61,53,26,25,14,1,66,134,207,0,89,"1,087",8.12235
2020-03-26,"6,078",417,85,38,5,76,3,4,73,65,31,29,20,2,84,166,249,1,106,"1,023",8.21392533
2020-03-27,"6,854",488,96,42,7,71,3,5,85,74,36,38,25,2,102,206,280,2,118,776,8.25849621
2020-03-28,"8,129",519,106,47,7,31,4,6,90,79,37,39,26,1,107,219,298,2,130,"1,275",7.11815562
2020-03-29,"8,816",603,118,51,7,84,4,6,105,91,52,45,29,2,121,256,345,2,148,687,7.4454091
2020-03-30,"10,354",734,136,56,9,131,5,7,130,116,74,49,34,1,144,317,414,3,174,"1,538",7.5041141
2020-03-31,"11,343",849,158,65,11,115,6,8,154,125,93,62,41,3,163,380,461,8,194,989,7.87872744
2020-04-01,"13,950",966,181,70,16,117,8,9,170,149,108,71,45,3,187,439,514,13,216,"2,606",7.17373899
2020-04-02,"15,831","1,112",211,85,17,146,10,12,192,177,136,88,55,6,198,519,585,8,238,"1,882",7.2018218
2020-04-03,"16,856","1,209",228,89,18,97,10,14,212,202,152,91,64,4,209,570,630,9,251,"1,025",7.28109984
2020-04-04,"17,663","1,326",249,94,19,117,10,15,237,222,162,99,66,3,226,609,710,7,286,807,7.88508965
2020-04-05,"18,490","1,404",269,102,19,78,10,15,254,235,172,109,71,3,235,657,739,8,300,827,7.83359294
2020-04-06,"20,336","1,454",289,109,31,50,10,16,259,255,190,115,79,2,240,701,747,6,288,"1,846",7.24276908
2020-04-07,"21,178","1,530",316,122,36,76,10,16,268,278,201,123,86,3,244,737,785,8,301,842,7.24578733
2020-04-08,"22,098","1,628",348,132,40,98,10,20,283,293,224,131,90,2,255,790,832,6,320,920,7.55148741
2020-04-09,"23,353","1,693",374,140,44,65,10,21,292,305,235,137,92,2,264,821,867,5,335,"1,255",7.38639653
2020-04-10,"24,430","1,761",396,144,45,68,10,22,304,318,245,143,104,2,270,853,902,6,343,"1,077",7.24283113
2020-04-11,"25,234","1,804",415,152,45,43,10,22,312,328,250,145,109,3,273,877,922,5,352,804,7.51242327
2020-04-12,"26,132","1,847",420,156,47,43,11,23,320,338,255,146,113,3,279,905,937,5,359,898,7.18410718
2020-04-13,"27,048","1,930",450,164,53,83,12,24,339,352,265,155,121,3,292,954,971,5,367,919,7.16296341
2020-04-14,"27,884","2,012",488,173,60,82,12,32,350,367,275,160,124,3,308,989,"1,017",6,381,836,7.02973888
2020-04-15,"29,132","2,087",507,181,63,75,12,34,362,383,286,163,129,3,316,"1,034","1,047",6,399,"1,248",7.38179903
2020-04-16,"30,246","2,158",524,181,70,71,13,35,373,404,297,166,131,4,327,"1,073","1,081",4,408,"1,114",7.25482036
2020-04-17,"31,639","2,213",537,187,71,55,16,38,381,418,302,167,135,4,340,"1,099","1,110",4,412,"1,393",6.79020695
2020-04-18,"32,594","2,268",552,188,71,55,17,39,389,429,312,173,138,4,344,"1,124","1,140",4,423,955,6.30775412
